,database,scenario,fuelOrTech,year,season,tod,value
0,A.sqlite,solve,BIO,2018,spring,hr01,0.0
1,A.sqlite,solve,BIO,2018,spring,hr02,0.0
2,A.sqlite,solve,BIO,2018,spring,hr03,0.0
3,A.sqlite,solve,BIO,2018,spring,hr04,0.0
4,A.sqlite,solve,BIO,2018,spring,hr05,0.0
5,A.sqlite,solve,BIO,2018,spring,hr06,0.0
6,A.sqlite,solve,BIO,2018,spring,hr07,0.0
7,A.sqlite,solve,BIO,2018,spring,hr08,0.0
8,A.sqlite,solve,BIO,2018,spring,hr09,0.0
9,A.sqlite,solve,BIO,2018,spring,hr10,0.0
10,A.sqlite,solve,BIO,2018,spring,hr11,0.0
11,A.sqlite,solve,BIO,2018,spring,hr12,0.0
12,A.sqlite,solve,BIO,2018,spring,hr13,0.0
13,A.sqlite,solve,BIO,2018,spring,hr14,0.0
14,A.sqlite,solve,BIO,2018,spring,hr15,0.0
15,A.sqlite,solve,BIO,2018,spring,hr16,0.0
16,A.sqlite,solve,BIO,2018,spring,hr17,0.0
17,A.sqlite,solve,BIO,2018,spring,hr18,0.0
18,A.sqlite,solve,BIO,2018,spring,hr19,0.0
19,A.sqlite,solve,BIO,2018,spring,hr20,0.0
20,A.sqlite,solve,BIO,2018,spring,hr21,0.0
21,A.sqlite,solve,BIO,2018,spring,hr22,0.0
22,A.sqlite,solve,BIO,2018,spring,hr23,0.0
23,A.sqlite,solve,BIO,2018,spring,hr24,0.0
24,A.sqlite,solve,BIO,2018,summer,hr01,0.0
25,A.sqlite,solve,BIO,2018,summer,hr02,0.0
26,A.sqlite,solve,BIO,2018,summer,hr03,0.0
27,A.sqlite,solve,BIO,2018,summer,hr04,0.0
28,A.sqlite,solve,BIO,2018,summer,hr05,0.0
29,A.sqlite,solve,BIO,2018,summer,hr06,0.0
30,A.sqlite,solve,BIO,2018,summer,hr07,0.0
31,A.sqlite,solve,BIO,2018,summer,hr08,0.0
