,database,scenario,fuelOrTech,2018,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,BIO,4207.220700310218,4207.220704260222,4207.220700199109,4207.220687060218,4207.220690921331,4207.220694171333,4207.22069392133
1,A.sqlite,solve,COAL_TAXED,8260.325939386037,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,ELC_CENTRAL,478.2853666326284,6342.56476113546,6482.443540977704,5210.192475497454,5382.355131642654,4271.6917593323105,4222.53702514737
3,A.sqlite,solve,ELC_DIST,0.0,13610.595142277367,14565.34679595228,14435.508315884514,15970.196950553933,18474.781169835383,16006.192687729952
4,A.sqlite,solve,HYDRO,1767.7994858586806,1708.8723647004276,1649.9452435421754,1616.7987382378803,1660.9940791065696,1767.7994858586806,1694.1405846886425
5,A.sqlite,solve,NATGAS_TAXED,50155.930496458044,23944.54677971119,24712.07705032522,9889.2379715225,5441.564557131032,5456.36537103176,0.0
6,A.sqlite,solve,NUCLEAR,29259.027267851623,29020.670542660955,29058.44291213561,29016.111817657296,28969.873212064755,26143.699518137168,23887.591611332304
7,A.sqlite,solve,OIL_TAXED,1120.2173590906189,0.0,0.0,0.0,0.0,0.0,0.0
8,A.sqlite,solve,SOLAR,797.7931575368453,59448.91503237721,58956.03925420513,57451.460364112565,56261.61519649402,53404.87192619891,41052.94385575264
9,A.sqlite,solve,WIND,4.249137182843754,27569.72083173523,42213.40535289463,75227.82918152845,97165.05872185601,118958.05974738857,154593.43217273
10,B.sqlite,solve,BIO,4207.2206889213285,4207.220722810219,4207.220691976885,4207.220698921319,2225.705944280562,1759.921171685714,1233.139457844844
11,B.sqlite,solve,COAL_TAXED,8260.325939386044,0.0,0.0,0.0,0.0,0.0,0.0
12,B.sqlite,solve,ELC_CENTRAL,478.2853666326283,3332.210605276879,4621.034139307939,5421.505612803871,6637.672895893469,4159.54013731377,775.5773554060172
13,B.sqlite,solve,ELC_DIST,0.0,1032.3577919369973,2539.775306754042,9234.734463132232,22143.203261881215,33064.18893656246,38936.5741019826
14,B.sqlite,solve,HYDRO,1767.7994858586803,1753.0677055691172,1767.7994858586803,1767.7994858586803,1753.0677055691174,1767.7994858586803,1767.7994858586803
15,B.sqlite,solve,NATGAS_TAXED,50155.930581152475,50155.93032106921,50155.930320735846,43058.52233085235,7914.025770220112,3310.248414592643,0.0
16,B.sqlite,solve,NUCLEAR,29259.02726785162,29204.322428918975,29146.361367761496,29153.525098322774,28670.950478492283,28336.65971433596,25826.34058288328
17,B.sqlite,solve,OIL_TAXED,1120.217358812841,14901.158643587603,5975.934151169637,470.8324128766659,0.0,0.0,0.0
18,B.sqlite,solve,SOLAR,797.7931575368456,41610.35230712023,46214.991010295045,57222.32338083979,67257.77827267924,80728.4456793211,86460.10893283987
19,B.sqlite,solve,WIND,4.249137182843754,1030.7306704762516,20838.785766878267,40781.59635283248,87474.57411713134,96677.148244814,112958.69302533907
20,C.sqlite,solve,BIO,4207.220680587998,4207.220702310223,4207.220701482447,4207.220699837998,4207.220694032444,4207.2206950324435,4207.220703107443
21,C.sqlite,solve,COAL_TAXED,8260.325939386046,0.0,0.0,0.0,0.0,0.0,0.0
