,database,scenario,fuelOrTech,2018,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,EC_BATT,0.0,0.0,0.0,4239.811749725182,4071.0058371456953,4097.873762167189,4203.141977806958
1,A.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,EC_PUMP,2843.076257996682,12066.631573736648,11721.763745210756,10574.135393264867,13640.855321940475,14594.788577284171,13669.53417573448
3,A.sqlite,solve,EC_SOLPV,0.0,32877.5554419687,32877.55544196871,37039.62397798255,36557.589038708014,37039.62397798252,37039.623977982534
4,A.sqlite,solve,EC_WIND,0.0,10554.198623998911,10554.198623998913,21108.397247997847,20550.132366995644,21059.161870180673,21108.397247997837
5,A.sqlite,solve,ED_BATT,0.0,3726.8526915925936,8324.024459964778,7910.334658633827,9150.023441208912,8672.621558799206,8968.877768038186
6,A.sqlite,solve,ED_BIO,0.0,46475.05442884674,45663.57054208645,35726.80386747036,40236.35659052246,43231.45754652971,58444.763001200285
7,A.sqlite,solve,ED_SOLPV,0.0,0.0,16586.771933674976,29559.89555004515,37039.623894051976,37039.62389405199,37039.62389405199
8,A.sqlite,solve,EF_WIND,0.0,0.0,0.0,0.0,23753.026914557977,38405.32832239093,38500.64522524494
9,A.sqlite,solve,EX_COAL,8765.155590901013,0.0,0.0,0.0,0.0,0.0,0.0
10,A.sqlite,solve,EX_DSL_CC,1.3433671057969165,3.3584247901867426,0.6716849494262369,0.7008804797273711,0.0,0.33584247471311823,0.0
11,A.sqlite,solve,EX_DSL_SIMP,0.013871870288875274,1.5536361412429094,0.6381007066215915,0.0,0.0,0.3190503533107958,0.0
12,A.sqlite,solve,EX_HYDRO,1593.2956557190798,1593.2956557190805,1593.2956557190798,1593.2956557190798,1593.2956557190805,1593.2956557190798,1593.2956557190805
13,A.sqlite,solve,EX_MSW_LF,4.9062222311472,4.906222231147197,4.906222231147201,4.906222231147199,4.497367097486783,4.804008447732093,0.0
14,A.sqlite,solve,EX_NG_CC,62662.71131679684,21866.8572119379,21866.85721193791,21176.28554638546,3180.730164072362,209.55730766764583,0.0
15,A.sqlite,solve,EX_NUCLEAR,29259.02726785162,29259.027267851623,29259.02726785162,29255.771017849016,29187.389990016538,29252.51476784641,29259.027267851623
16,A.sqlite,solve,EX_OIL_TYPE1,2788.6794146476104,0.0,0.0,0.0,0.0,0.0,0.0
17,A.sqlite,solve,EX_OIL_TYPE2,0.019895182293693928,3.544233474224275,0.7114753850414018,0.2704989107719547,0.0,0.35245245972640626,0.0
18,A.sqlite,solve,EX_OIL_TYPE3,0.015514591679078342,3.568326299243549,0.713665260015376,0.2792596716122966,0.0,0.3568326300076882,0.0
19,A.sqlite,solve,EX_PUMP,4499.244137441062,2888.635393310908,5370.192705546154,5623.604103248884,6053.072542620239,3323.1965428529998,2416.510856155431
20,A.sqlite,solve,EX_SOLPV,583.718662812225,583.7186628122247,583.7186628122248,583.7186628122249,583.7186628122248,0.0,0.0
21,A.sqlite,solve,EX_WIND,4.059307164080778,4.0593071640807805,4.059307164080778,4.059307164080778,4.059307164080776,0.0,0.0
22,B.sqlite,solve,EC_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,B.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,B.sqlite,solve,EC_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,B.sqlite,solve,EC_DSL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,B.sqlite,solve,EC_NG_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,B.sqlite,solve,EC_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,B.sqlite,solve,EC_OIL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,B.sqlite,solve,EC_PUMP,0.0,0.0,0.0,0.0,0.0,14128.652579358477,13872.377478875678
30,B.sqlite,solve,EC_SOLPV,0.0,14508.033146631436,14508.033146631436,14062.487007386108,11343.494685766464,34372.97675133728,37039.62392847058
31,B.sqlite,solve,EC_WIND,0.0,0.0,0.0,20855.733995017912,19711.175038546717,20137.344802776544,21108.397267442266
32,B.sqlite,solve,ED_BATT,0.0,139.60385344501643,1773.3310182519988,3995.4180204185573,5879.730051037118,5399.6530920419455,10599.538057969352
33,B.sqlite,solve,ED_BIO,0.0,21536.610650562605,34982.125172430184,31106.50738044081,29213.716126148796,34341.07024219514,58722.43626670008
34,B.sqlite,solve,ED_NG_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,B.sqlite,solve,ED_NG_OC,20845.550316676494,69160.3434373005,58270.21107189395,43875.388632016984,29019.17596263202,14629.670097842625,0.0
36,B.sqlite,solve,ED_SOLPV,0.0,0.0,14406.992480306146,30320.386250561874,37039.624001640324,37039.624001640324,37039.624001640324
37,B.sqlite,solve,EF_WIND,0.0,0.0,0.0,0.0,30033.645668471378,35983.09393989761,38500.645319689414
38,B.sqlite,solve,EX_COAL,5661.500445640314,0.0,0.0,0.0,0.0,0.0,0.0
39,B.sqlite,solve,EX_DSL_CC,0.36504921834759496,0.07300984366951899,0.0,0.0,0.0,0.0,0.0
40,B.sqlite,solve,EX_DSL_SIMP,0.0,0.06935935088882082,0.0,0.0,0.0,0.0,0.0
41,B.sqlite,solve,EX_HYDRO,1593.2956557190803,1593.2956557190803,1593.2956557190796,1593.2956557190798,1593.29565571908,1593.2956557190796,1593.29565571908
42,B.sqlite,solve,EX_MSW_LF,4.906222231147199,0.05110688920755217,0.0,0.0,4.241832638949024,4.344046422364128,0.0
43,B.sqlite,solve,EX_NG_CC,46113.96958689117,1944.4472443333361,287.33250995208823,42.76896892310407,250.10866158897585,0.0,0.0
44,B.sqlite,solve,EX_NUCLEAR,29259.027267851623,29259.027267851623,29259.02726785162,29217.99861781881,29112.496517734406,29177.621267786508,29259.027267851623
45,B.sqlite,solve,EX_OIL_TYPE1,383.6251566957891,0.0,0.0,0.0,0.0,0.0,0.0
46,B.sqlite,solve,EX_OIL_TYPE2,0.0,0.09947591124624743,0.0,0.0,0.0,0.0,0.0
47,B.sqlite,solve,EX_OIL_TYPE3,0.0,0.0775729583953917,0.0,0.0,0.0,0.0,0.0
48,B.sqlite,solve,EX_PUMP,3415.6248488713886,914.7100104262124,3374.68923358864,6193.70955081608,6573.552898953287,7041.827102022353,5139.784312722936
49,B.sqlite,solve,EX_SOLPV,583.718662812225,583.7186628122249,583.7186628122248,583.7186628122249,583.7186628122248,0.0,0.0
50,B.sqlite,solve,EX_WIND,4.059307164080777,4.059307164080778,4.059307164080777,4.059307164080778,4.059307164080779,0.0,0.0
51,C.sqlite,solve,EC_BATT,0.0,0.0,0.0,4157.660006881682,4202.782656973337,4070.4689247285974,4140.253636923315
52,C.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,C.sqlite,solve,EC_PUMP,1813.0712413393453,8604.828830578314,11108.162137886538,10624.311524277233,11882.603955256087,13128.648668544505,11971.004668923952
54,C.sqlite,solve,EC_SOLPV,0.0,31510.772604105845,32687.137216928328,37039.62399545254,36929.0843703641,37039.62399545253,37039.62399545256
55,C.sqlite,solve,EC_WIND,0.0,10554.198623998911,10554.198623998915,21108.397247997826,20970.65131177652,21108.39724799784,21108.397247997844
56,C.sqlite,solve,ED_BATT,0.0,3393.1641502145308,7899.208799819368,7531.470340191844,8924.418052778425,8856.451961529607,9919.674194074623
57,C.sqlite,solve,ED_BIO,0.0,47731.94935485221,47655.87979368022,38642.85608369203,33326.04657666083,39126.046314078594,58820.14855269491
58,C.sqlite,solve,ED_SOLPV,0.0,0.0,14681.766806389864,26027.64997882768,37039.623884026165,37039.62388402617,37039.623884026165
59,C.sqlite,solve,EF_WIND,0.0,0.0,0.0,0.0,11656.945980714447,38497.03077024206,38500.64523135607
60,C.sqlite,solve,EX_COAL,8883.153619050974,0.0,0.0,0.0,0.0,0.0,0.0
61,C.sqlite,solve,EX_DSL_CC,1.3433671057969163,3.431434634689594,2.3655021166146253,0.7008804797273712,1.6500084527088963,1.6500084527088963,0.0
62,C.sqlite,solve,EX_DSL_SIMP,0.013871870288875274,1.553636141242909,0.6381007066215915,0.665836454421558,0.6658364544215579,0.3190503533107958,0.0
63,C.sqlite,solve,EX_HYDRO,1593.29565571908,1593.2956557190798,1593.2956557190803,1593.29565571908,1593.29565571908,1593.2956557190798,1593.2956557190803
64,C.sqlite,solve,EX_MSW_LF,4.906222231147198,4.906222231147198,4.906222231147197,4.906222231147199,4.7017946643169894,4.855115339439646,0.0
65,C.sqlite,solve,EX_NG_CC,62543.33312781247,21866.85721193791,21866.8572119379,21711.55363403589,20728.42516658273,4321.418486790467,0.0
66,C.sqlite,solve,EX_NUCLEAR,29259.027267851623,29259.027267851616,29259.02726785162,29259.027267851623,29223.20860115631,29255.771017849023,29259.02726785162
67,C.sqlite,solve,EX_OIL_TYPE1,2786.609851979288,0.0,0.0,0.0,0.0,0.0,0.0
68,C.sqlite,solve,EX_OIL_TYPE2,0.019895182293693928,3.6218064326196657,2.136980243959584,0.7512568142121163,0.7643981656115183,0.36997440171264606,0.0
69,C.sqlite,solve,EX_OIL_TYPE3,0.015514591679078342,3.6458992576389395,2.1720249639598426,0.7446855080957481,0.7446855080957481,0.3568326300076882,0.0
70,C.sqlite,solve,EX_PUMP,5515.450278912361,6205.732334686811,5896.7201094396005,5570.247878514533,5065.344506552276,5103.410841496619,4999.037627443674
71,C.sqlite,solve,EX_SOLPV,583.7186628122248,583.7186628122247,583.7186628122248,583.7186628122249,583.7186628122248,0.0,0.0
72,C.sqlite,solve,EX_WIND,4.059307164080778,4.05930716408078,4.059307164080779,4.059307164080776,4.059307164080777,0.0,0.0
73,D.sqlite,solve,EC_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,D.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
