,database,scenario,fuelOrTech,2017,2020,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,COAL_TAXED,3.372,3.372,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,DSL_TAXED,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
3,A.sqlite,solve,ELC_CENTRAL,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
4,A.sqlite,solve,ELC_DIST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6852599
5,A.sqlite,solve,HYDRO,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439
6,A.sqlite,solve,MSW_LF_TAXED,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
7,A.sqlite,solve,NATGAS_TAXED,13.134,16.7245177,18.195689,28.949662,32.086242999999996,35.046355000000005,34.376066,29.893797
8,A.sqlite,solve,NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
9,A.sqlite,solve,OIL_TAXED,2.1719999999999997,2.1719999999999997,0.002,0.002,0.002,0.002,0.002,0.002
10,A.sqlite,solve,SOLAR,0.538,11.95534,17.081402,19.192224,22.366866,27.821719,32.492389,46.425608
11,A.sqlite,solve,WIND,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0
12,B.sqlite,solve,BIO,0.0,0.0,4.1959816,4.1959816,4.3251003,4.9552706,5.0335289,5.1101482
13,B.sqlite,solve,COAL_TAXED,3.372,3.372,0.0,0.0,0.0,0.0,0.0,0.0
14,B.sqlite,solve,DSL_TAXED,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
15,B.sqlite,solve,ELC_CENTRAL,3.2,3.2,3.2,3.2,3.2,10.6905008,17.92708,23.2
16,B.sqlite,solve,ELC_DIST,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0
17,B.sqlite,solve,HYDRO,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439
18,B.sqlite,solve,MSW_LF_TAXED,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
19,B.sqlite,solve,NATGAS_TAXED,13.134,13.134,4.538,4.538,4.538,4.538,0.9076,0.0
20,B.sqlite,solve,NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
21,B.sqlite,solve,OIL_TAXED,2.1719999999999997,2.1719999999999997,0.002,0.002,0.002,0.002,0.002,0.002
22,B.sqlite,solve,SOLAR,0.538,11.952279,34.228553999999995,34.228553999999995,42.696878999999996,55.0925551,54.5545551,47.9956097
23,B.sqlite,solve,WIND,0.001,0.001,8.2150749,14.195616,20.001,20.001,33.249376,40.0
