,database,scenario,fuelOrTech,2017,2020,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,EC_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,EC_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A.sqlite,solve,EC_DSL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,EC_NG_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,A.sqlite,solve,EC_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A.sqlite,solve,EC_OIL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A.sqlite,solve,EC_PUMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A.sqlite,solve,EC_SOLPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A.sqlite,solve,EC_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,A.sqlite,solve,ED_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6852599
11,A.sqlite,solve,ED_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,A.sqlite,solve,ED_NG_CC,0.0,3.5905177,13.657689,24.411662,27.548243,30.508355,33.468466,29.893797
13,A.sqlite,solve,ED_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,A.sqlite,solve,ED_SOLPV,0.0,11.41734,16.543402,18.654224,21.828866,27.283719,32.492389,46.425608
15,A.sqlite,solve,ED_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,A.sqlite,solve,EX_COAL,3.372,3.372,0.0,0.0,0.0,0.0,0.0,0.0
17,A.sqlite,solve,EX_DSL_CC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
18,A.sqlite,solve,EX_DSL_SIMP,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
19,A.sqlite,solve,EX_HYDRO,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439
20,A.sqlite,solve,EX_MSW_LF,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
21,A.sqlite,solve,EX_NG_CC,13.134,13.134,4.538,4.538,4.538,4.538,0.9076,0.0
22,A.sqlite,solve,EX_NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
23,A.sqlite,solve,EX_OIL_TYPE1,2.17,2.17,0.0,0.0,0.0,0.0,0.0,0.0
24,A.sqlite,solve,EX_OIL_TYPE2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
25,A.sqlite,solve,EX_OIL_TYPE3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
26,A.sqlite,solve,EX_PUMP,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
27,A.sqlite,solve,EX_SOLPV,0.538,0.538,0.538,0.538,0.538,0.538,0.0,0.0
28,A.sqlite,solve,EX_WIND,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0
29,B.sqlite,solve,EC_BATT,0.0,0.0,0.0,0.0,0.0,7.4905008,14.72708,20.0
30,B.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,B.sqlite,solve,EC_PUMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,B.sqlite,solve,EC_SOLPV,0.0,0.0,0.0,0.0,0.0,3.2186011,3.2186011,5.1107967
33,B.sqlite,solve,EC_WIND,0.0,0.0,0.0,0.0,0.0,0.0,13.249376,20.0
34,B.sqlite,solve,ED_BATT,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0
35,B.sqlite,solve,ED_BIO,0.0,0.0,4.1959816,4.1959816,4.3251003,4.9552706,5.0335289,5.1101482
36,B.sqlite,solve,ED_SOLPV,0.0,11.414279,33.690554,33.690554,42.158879,51.335954,51.335954,42.884813
37,B.sqlite,solve,ED_WIND,0.0,0.0,8.2140749,14.194616,20.0,20.0,20.0,20.0
38,B.sqlite,solve,EX_COAL,3.372,3.372,0.0,0.0,0.0,0.0,0.0,0.0
39,B.sqlite,solve,EX_DSL_CC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
40,B.sqlite,solve,EX_DSL_SIMP,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
41,B.sqlite,solve,EX_HYDRO,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439
42,B.sqlite,solve,EX_MSW_LF,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
43,B.sqlite,solve,EX_NG_CC,13.134,13.134,4.538,4.538,4.538,4.538,0.9076,0.0
44,B.sqlite,solve,EX_NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
45,B.sqlite,solve,EX_OIL_TYPE1,2.17,2.17,0.0,0.0,0.0,0.0,0.0,0.0
46,B.sqlite,solve,EX_OIL_TYPE2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
47,B.sqlite,solve,EX_OIL_TYPE3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
48,B.sqlite,solve,EX_PUMP,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
49,B.sqlite,solve,EX_SOLPV,0.538,0.538,0.538,0.538,0.538,0.538,0.0,0.0
50,B.sqlite,solve,EX_WIND,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0
