,database,scenario,fuelOrTech,2016,2021,2026,2031,2036,2041,2046,2051,2056,2061
0,A.sqlite,solve,BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,COAL_TAXED,3.31,1.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,DSL_TAXED,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0016,0.0
3,A.sqlite,solve,ELC_CENTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,ELC_DIST,0.0,0.0,0.0,0.0,2.1836226,4.6463992,6.3980654,10.104436,10.900054,14.267548
5,A.sqlite,solve,HYDRO,4.036,4.036,4.036,4.036,4.036,4.036,4.036,4.036,4.036,4.036
6,A.sqlite,solve,MSW_LF_TAXED,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.00192,0.0,0.0
7,A.sqlite,solve,NATGAS_TAXED,13.134,17.1460699,19.7864905,35.9922269,25.941988900000002,25.941988900000002,26.7593569,26.7593569,28.7488759,30.9768779
8,A.sqlite,solve,NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
9,A.sqlite,solve,OIL_TAXED,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,1.738
10,A.sqlite,solve,SOLAR,0.538,11.189559000000001,16.172078,19.411428,24.620759,30.228463,34.743698,43.858957,49.528341,57.029968
11,A.sqlite,solve,WIND,0.001,0.001,0.001,0.001,0.0008,0.0,0.0,0.0,0.0,0.0
12,B.sqlite,solve,COAL_TAXED,3.31,1.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,B.sqlite,solve,DSL_TAXED,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0016,0.0
14,B.sqlite,solve,ELC_CENTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,B.sqlite,solve,ELC_DIST,0.0,6.3588161,12.717632,20.607421,70.807251,74.406166,74.763346,66.588818,62.989903,61.101751
16,B.sqlite,solve,HYDRO,4.036,4.036,4.036,4.036,4.036,4.036,4.036,4.036,4.036,4.036
17,B.sqlite,solve,MSW_LF_TAXED,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.00192,0.0,0.0
18,B.sqlite,solve,NATGAS_TAXED,13.134,13.134,13.134,10.5072,0.0,0.0,0.0,0.0,0.0,0.0
19,B.sqlite,solve,NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
20,B.sqlite,solve,OIL_TAXED,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,1.738
21,B.sqlite,solve,SOLAR,0.538,18.857164,29.813188,40.425819999999995,91.72295600000001,94.47616,94.47616,76.156996,65.363393,54.978842
22,B.sqlite,solve,WIND,0.001,0.001,0.001,0.001,0.0008,6.6169646,15.848743,32.291865,44.924512,58.931801
