,database,scenario,fuelOrTech,2016,2021,2026,2031,2036,2041,2046,2051,2056,2061
0,A.sqlite,solve,BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,COAL_TAXED,3.31,1.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,DSL_TAXED,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0016,0.0
3,A.sqlite,solve,ELC_CENTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,ELC_DIST,0.0,0.0,0.0,1.5404309,4.1216101,4.1216101,4.1216101,4.1216101,4.1216101,7.6106304
5,A.sqlite,solve,HYDRO,4.036,4.036,4.036,4.036,4.036,4.036,4.036,4.036,4.036,4.036
6,A.sqlite,solve,MSW_LF_TAXED,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.00192,0.0,0.0
7,A.sqlite,solve,NATGAS_TAXED,13.134,17.1460699,19.7864905,34.254731899999996,23.7475319,23.7475319,23.7475319,23.7475319,23.7475319,23.7475319
8,A.sqlite,solve,NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
9,A.sqlite,solve,OIL_TAXED,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,1.7379999999999998
10,A.sqlite,solve,SOLAR,0.538,11.189559000000001,16.172078,21.090471,27.008156,26.844208,26.846287,27.599377,29.003218,33.944151
11,A.sqlite,solve,WIND,0.001,0.001,0.001,0.001,0.0008,0.0,0.0,0.0,0.0,0.0
12,B.sqlite,solve,COAL_TAXED,3.31,1.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,B.sqlite,solve,DSL_TAXED,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0016,0.0
14,B.sqlite,solve,ELC_CENTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,B.sqlite,solve,ELC_DIST,0.0,5.6406143,11.281229,18.131492,70.717372,70.717372,70.602949,70.604924,70.604924,69.762934
16,B.sqlite,solve,HYDRO,4.036,4.036,4.036,4.036,4.036,4.036,4.036,4.036,4.036,4.036
17,B.sqlite,solve,MSW_LF_TAXED,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.00192,0.0,0.0
18,B.sqlite,solve,NATGAS_TAXED,13.134,13.134,13.134,10.5072,0.0,0.0,0.0,0.0,0.0,0.0
19,B.sqlite,solve,NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
20,B.sqlite,solve,OIL_TAXED,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,2.1719999999999997,1.7379999999999998
21,B.sqlite,solve,SOLAR,0.538,18.103954,28.536628,38.056715,94.10776800000001,94.832149,97.165924,97.1682,97.16243,93.767153
22,B.sqlite,solve,WIND,0.001,0.001,0.001,0.001,0.0008,0.0,0.0,0.0,0.0084826344,3.0888729
