,database,scenario,fuelOrTech,2017,2020,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050
0,A.sqlite,solve,EC_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,EC_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A.sqlite,solve,EC_DSL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,EC_NG_CC,0.0,487.7554881679814,487.75548816798147,487.75548816798147,476.9163848259768,325.09961431563545,324.9864489266561,323.7810719256918,323.7810719256918,343.00319630218036,449.8186264709654,444.3990747999631
5,A.sqlite,solve,EC_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A.sqlite,solve,EC_OIL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A.sqlite,solve,EC_SOLPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A.sqlite,solve,EC_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A.sqlite,solve,ED_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,A.sqlite,solve,ED_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,A.sqlite,solve,ED_NG_CC,0.0,44148.313118651975,61547.067337793225,69346.89681631084,71491.57700080439,99635.0103318471,105349.06872027948,111608.47970903716,113554.81673095527,118659.95987728945,125339.46194455009,130810.9489791218
12,A.sqlite,solve,ED_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,A.sqlite,solve,ED_SOLPV,0.0,12073.950144825827,17427.24888548902,22785.698125434094,24877.81714296891,27794.82986576918,31456.25330075668,34608.80126885646,41981.47001967129,46188.662761217565,48849.67950679642,52727.52167059312
14,A.sqlite,solve,ED_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,A.sqlite,solve,EX_COAL,27001.813354934762,25276.209203554292,8114.324917602569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,A.sqlite,solve,EX_DSL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,A.sqlite,solve,EX_DSL_SIMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,A.sqlite,solve,EX_HYDRO,2423.0605108273394,2391.3288299686205,2338.026809092645,2271.6180173728508,2271.6180173728508,2200.172308426805,2135.5140055972997,2106.923177518871,2121.6872816973496,2120.175523918362,2120.175523918362,2094.935108342614
19,A.sqlite,solve,EX_MSW_LF,4.906222348369418,4.70179478153921,4.70179478153921,4.599580998124106,4.599580998124106,3.424122488850407,3.424122488850407,3.424122488850407,3.3730155971428544,4.244166173589774,4.241832756171241,4.241832756171241
20,A.sqlite,solve,EX_NG_CC,60897.45465705127,12923.119609782942,13231.680062807565,15699.746468115354,20150.104996675644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,A.sqlite,solve,EX_NUCLEAR,29696.66113486839,29647.817662607096,29638.04896815484,29638.048968154846,29638.048968154842,29214.491606704898,29214.887662260775,29217.901106707624,29218.20774559676,29526.39055139886,29563.15557920604,29563.15557920604
