,database,scenario,fuelOrTech,2017,2020,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050
0,A.sqlite,solve,BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,COAL_TAXED,3.372,3.372,1.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,DSL_TAXED,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
3,A.sqlite,solve,ELC_CENTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,ELC_DIST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,A.sqlite,solve,HYDRO,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439
6,A.sqlite,solve,MSW_LF_TAXED,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
7,A.sqlite,solve,NATGAS_TAXED,13.134,20.661818762,23.434749862,24.756366862,24.775350862,39.347354862,28.953729862,30.729796861999997,32.505863862,34.281930862,36.057997862,37.834065862
8,A.sqlite,solve,NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
9,A.sqlite,solve,OIL_TAXED,1.6629999999999998,1.6629999999999998,1.663,1.663,1.663,1.663,1.6629999999999998,1.663,1.6629999999999998,1.6629999999999998,1.6629999999999998,1.6629999999999998
10,A.sqlite,solve,SOLAR,0.538,7.6970596,10.882944,14.492604,15.818337,17.685396,20.300036,22.536955,29.043013000000002,32.20836333,33.877886,37.150326
11,A.sqlite,solve,WIND,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.00033333333,0.0,0.0
12,B.sqlite,solve,BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,B.sqlite,solve,COAL_TAXED,3.372,3.372,1.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,B.sqlite,solve,DSL_TAXED,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
15,B.sqlite,solve,ELC_CENTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.044398521,0.044398521,0.044398521,0.044398521,0.044398521,0.0
16,B.sqlite,solve,ELC_DIST,0.0,0.86716197,3.8650266,7.2178735,10.249107,34.707121,35.919674,37.302974,38.445865,39.639419,40.965129,42.401484
17,B.sqlite,solve,HYDRO,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439
18,B.sqlite,solve,MSW_LF_TAXED,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
19,B.sqlite,solve,NATGAS_TAXED,13.134,13.134,13.134,13.134,13.134,13.134,0.97,0.97,0.97,0.97,0.97,0.97
20,B.sqlite,solve,NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
21,B.sqlite,solve,OIL_TAXED,1.663,1.6629999999999998,1.663,1.6629999999999998,1.6629999999999998,1.6629999999999998,1.663,1.6629999999999998,1.6629999999999998,1.6629999999999998,1.6629999999999998,1.6629999999999998
22,B.sqlite,solve,SOLAR,0.538,9.5097448,16.511477,22.023722,26.506809,59.243784,61.456903,63.839892,65.91935699999999,68.11562833,70.441544,72.651245
23,B.sqlite,solve,WIND,0.001,0.001,0.001,0.001,0.001,14.717547,17.26003,19.720943000000002,22.327586,24.790916333330003,27.251825,29.712738
