,database,scenario,fuelOrTech,2017,2020,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050
0,A.sqlite,solve,EC_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,EC_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A.sqlite,solve,EC_DSL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,EC_NG_CC,0.0,44333.72707991146,48392.291822047206,48494.6823276847,49298.791944994635,826.1021139664381,826.1021139664376,823.1928041307772,812.5801819556203,979.0006479776456,1117.5434292273692,1104.0735656054826
5,A.sqlite,solve,EC_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A.sqlite,solve,EC_OIL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A.sqlite,solve,EC_SOLPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A.sqlite,solve,EC_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A.sqlite,solve,ED_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.6980296636696,2980.6310042733944
10,A.sqlite,solve,ED_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,A.sqlite,solve,ED_NG_CC,0.0,0.0,1975.131757135662,13948.37387893645,38728.44123264939,99069.19957072784,104790.05991744334,111008.40699991817,113027.57406653369,118087.88554447072,121533.43496242167,123751.36553816835
12,A.sqlite,solve,ED_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,A.sqlite,solve,ED_SOLPV,0.0,12147.118575273249,17504.708449378773,22897.927997751674,23353.530233292862,27608.68609760812,31272.958373028436,34466.322701960904,41750.416994760395,46092.085881755935,52227.43799469196,59660.66115230528
14,A.sqlite,solve,ED_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,A.sqlite,solve,EX_COAL,27001.813354934762,24487.61823903453,8169.632895424587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,A.sqlite,solve,EX_DSL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,A.sqlite,solve,EX_DSL_SIMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,A.sqlite,solve,EX_HYDRO,2423.0605108273394,2355.6495968845215,2306.8800007343943,2271.6180173728508,2271.6180173728508,2246.3155515192752,2182.718573690619,2142.5178378251253,2133.9185255960233,2120.175523918362,2120.175523918362,2094.935108342614
19,A.sqlite,solve,EX_MSW_LF,4.906222348369418,4.70179478153921,4.599580998124106,4.599580998124106,4.599580998124106,3.935191405925928,3.935191405925928,3.9351914059259276,3.9351914059259276,4.292939647878793,4.292939647878793,4.241832756171241
20,A.sqlite,solve,EX_NG_CC,60712.51312356999,14444.377621833277,25222.323361566756,23413.74929611989,5825.473635215935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,A.sqlite,solve,EX_NUCLEAR,29696.661134868395,29647.817662607096,29638.048968154842,29638.048968154846,29638.04896815484,29382.306356839155,29382.306356839148,29423.1835513163,29449.71510689307,29566.41180143087,29563.15557920604,29563.155579206046
