,database,scenario,fuelOrTech,2017,2020,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050
0,A.sqlite,solve,BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,COAL_TAXED,3.372,3.372,1.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,DSL_TAXED,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
3,A.sqlite,solve,ELC_CENTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,ELC_DIST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5451784,3.0903569
5,A.sqlite,solve,HYDRO,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439
6,A.sqlite,solve,MSW_LF_TAXED,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
7,A.sqlite,solve,NATGAS_TAXED,13.134,20.4117354,20.77756713,22.9388193,29.7426579,46.4565534,39.6309284,41.4069954,43.1830624,44.959129399999995,44.959129399999995,44.959129399999995
8,A.sqlite,solve,NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
9,A.sqlite,solve,OIL_TAXED,1.6629999999999998,1.6629999999999998,1.663,1.663,1.6629999999999998,1.6629999999999998,1.6629999999999998,1.6629999999999998,1.6629999999999998,1.6629999999999998,1.663,1.6629999999999998
10,A.sqlite,solve,SOLAR,0.538,7.7404438,10.931005,14.582923000000001,14.591638,17.551234,20.159872,22.437436,28.871406,32.10310233,36.112828,41.83072
11,A.sqlite,solve,WIND,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.00033333333,0.0,0.0
12,B.sqlite,solve,BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,B.sqlite,solve,COAL_TAXED,3.372,3.372,1.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,B.sqlite,solve,DSL_TAXED,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
15,B.sqlite,solve,ELC_CENTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.13457641,0.13457641,0.13457641,0.13457641,0.13457641,0.0
16,B.sqlite,solve,ELC_DIST,0.0,0.86716197,3.8650266,7.2178735,10.249107,33.971084,34.988359,36.3148,37.455707,38.840835,41.112988,42.454988
17,B.sqlite,solve,HYDRO,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439
18,B.sqlite,solve,MSW_LF_TAXED,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
19,B.sqlite,solve,NATGAS_TAXED,13.134,13.134,13.134,13.134,13.134,13.134,4.538,4.538,4.538,4.538,4.538,4.538
20,B.sqlite,solve,NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
21,B.sqlite,solve,OIL_TAXED,1.6629999999999998,1.663,1.6629999999999998,1.663,1.663,1.6629999999999998,1.6629999999999998,1.663,1.663,1.663,1.6629999999999998,1.663
22,B.sqlite,solve,SOLAR,0.538,9.5097448,16.511477,22.023722,26.506809,64.350772,66.370021,68.698604,70.77617099999999,73.15697333,76.387275,78.603389
23,B.sqlite,solve,WIND,0.001,0.001,0.001,0.001,0.001,3.1933473,5.9189834,8.3798961,10.986538999999999,13.447444333329999,15.910778,18.371691
