,database,scenario,fuelOrTech,2016,2021,2026,2031,2036,2041,2046,2051,2056,2061
0,A.sqlite,solve,EC_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,EC_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A.sqlite,solve,EC_DSL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,EC_NG_CC,0.0,24576.195802994294,24822.77510846933,481.02268482926263,470.1744797928062,610.5514657662186,610.5514657662187,604.863182428335,604.7189174282195,0.0
5,A.sqlite,solve,EC_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A.sqlite,solve,EC_OIL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A.sqlite,solve,EC_SOLPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A.sqlite,solve,EC_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A.sqlite,solve,ED_BATT,0.0,0.0,0.0,1941.8721654423866,5748.2597823763845,5744.668768484624,5744.641010151267,5734.588600421003,5715.849824294902,10983.721184342536
10,A.sqlite,solve,ED_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,A.sqlite,solve,ED_NG_CC,0.0,0.0,14639.372064489275,64980.619024484455,70187.50944198336,69975.831214314,69974.17973097935,69386.65526939822,68385.73058543079,61495.92025475228
12,A.sqlite,solve,ED_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,A.sqlite,solve,ED_SOLPV,0.0,20530.451809479917,30134.05733410725,39614.062076135684,51227.55735648206,51741.132733629034,51745.14051312179,53196.69210178303,55615.95772885734,65226.59176557361
